"A_x","A_y","B_x","B_y","DA_x","DA_y","DB_x","DB_y"
79,22,79,13,79,142,79,133,
80,23,80,10,80,137,80,136,
81,21,81,10,81,138,81,136,
82,19,82,10,82,139,82,135,
83,20,83,10,83,138,83,133,
84,18,84,11,84,140,84,132,
85,19,85,11,85,136,85,130,
86,22,86,8,86,132,86,131,
87,19,87,7,87,135,87,129,
88,21,88,6,88,130,88,130,
89,20,89,6,89,131,89,127,
90,20,90,8,90,130,90,123,
91,20,91,6,91,130,91,123,
92,18,92,7,92,131,92,116,
93,18,93,9,93,130,93,114,
94,19,94,8,94,126,94,112,
95,20,95,12,95,125,95,108,
96,17,96,13,96,125,96,106,
97,16,97,13,97,124,97,106,
98,17,98,14,98,122,98,103,
99,17,99,15,99,121,99,102,
100,17,100,17,100,120,100,99,
101,21,101,16,101,117,101,100,
102,20,102,15,102,117,102,100,
103,19,103,14,103,116,103,99,
104,19,104,15,104,116,104,95,
105,18,105,12,105,115,105,96,
106,18,106,10,106,114,106,96,
107,19,107,10,107,110,107,95,
108,20,108,9,108,109,108,96,
109,20,109,9,109,109,109,95,
110,19,110,9,110,108,110,95,
111,20,111,8,111,106,111,95,
112,18,112,6,112,107,112,97,
113,21,113,4,113,107,113,96,
114,29,114,4,114,104,114,95,
115,26,115,3,115,104,115,95,
116,26,116,2,116,104,116,95,
117,23,117,4,117,105,117,92,
118,27,118,4,118,102,118,92,
119,26,119,4,119,101,119,90,
120,25,120,4,120,100,120,90,
121,25,121,5,121,99,121,83,
122,28,122,6,122,96,122,81,
123,28,123,5,123,94,123,81,
124,34,124,5,124,92,124,81,
125,30,125,7,125,94,125,78,
126,37,126,7,126,94,126,77,
127,34,127,7,127,94,127,76,
128,41,128,7,128,90,128,75,
129,38,129,7,129,93,129,74,
130,34,130,7,130,97,130,73,
131,31,131,6,131,99,131,73,
132,31,132,6,132,98,132,72,
133,29,133,7,133,99,133,70,
134,30,134,12,134,95,134,65,
135,31,135,16,135,97,135,63,
136,31,136,12,136,96,136,65,
137,35,137,10,137,95,137,67,
138,35,138,10,138,93,138,67,
139,45,139,11,139,89,139,65,
140,41,140,12,140,90,140,63,
141,36,141,11,141,94,141,63,
142,43,142,13,142,92,142,61,
143,41,143,12,143,92,143,62,
144,46,144,13,144,90,144,61,
145,46,145,17,145,92,145,61,
146,45,146,17,146,92,146,57,
147,47,147,16,147,93,147,57,
148,53,148,17,148,90,148,56,
149,53,149,18,149,88,149,55,
150,54,150,17,150,89,150,54,
151,51,151,16,151,92,151,55,
152,51,152,19,152,92,152,53,
153,48,153,17,153,94,153,54,
154,51,154,19,154,93,154,56,
155,55,155,19,155,91,155,53,
156,63,156,17,156,87,156,54,
157,71,157,16,157,90,157,55,
158,61,158,18,158,96,158,56,
159,63,159,17,159,100,159,55,
160,62,160,20,160,104,160,56,
161,59,161,23,161,107,161,57,
162,53,162,26,162,112,162,58,
163,51,163,21,163,116,163,61,
164,48,164,24,164,117,164,60,
165,47,165,23,165,117,165,60,
166,48,166,21,166,117,166,61,
167,51,167,20,167,116,167,60,
168,67,168,25,168,117,168,59,
169,64,169,24,169,118,169,59,
170,58,170,29,170,123,170,58,
171,66,171,37,171,125,171,58,
172,62,172,35,172,129,172,60,
173,63,173,38,173,131,173,58,
174,61,174,34,174,131,174,61,
175,70,175,31,175,131,175,63,
176,74,176,30,176,131,176,64,
177,66,177,31,177,135,177,63,
178,69,178,38,178,132,178,63,
179,68,179,36,179,131,179,64,
180,78,180,39,180,132,180,67,
181,74,181,37,181,135,181,69,
182,69,182,39,182,141,182,68,
183,82,183,36,183,144,183,68,
184,86,184,35,184,145,184,66,
185,90,185,41,185,146,185,67,
186,88,186,44,186,148,186,68,
187,97,187,49,187,150,187,66,
188,94,188,47,188,152,188,66,
189,92,189,46,189,158,189,63,
190,93,190,55,190,161,190,64,
191,101,191,67,191,160,191,64,
192,100,192,61,192,163,192,69,
193,98,193,62,193,165,193,70,
194,103,194,57,194,163,194,76,
195,101,195,61,195,164,195,77,
196,104,196,64,196,163,196,78,
197,103,197,65,197,170,197,79,
198,100,198,59,198,169,198,82,
199,113,199,65,199,169,199,86,
200,132,200,62,200,167,200,87,
201,131,201,76,201,169,201,88,
202,141,202,77,202,170,202,91,
203,127,203,75,203,173,203,95,
204,136,204,79,204,178,204,95,
205,127,205,75,205,187,205,96,
206,136,206,84,206,190,206,96,
207,144,207,92,207,198,207,96,
208,146,208,89,208,203,208,97,
209,145,209,94,209,211,209,100,
210,157,210,102,210,213,210,102,
211,167,211,108,211,216,211,103,
212,167,212,117,212,220,212,103,
213,170,213,127,213,216,213,106,
214,174,214,128,214,219,214,105,
215,178,215,131,215,226,215,111,
216,179,216,128,216,230,216,112,
217,180,217,152,217,238,217,115,
218,173,218,149,218,244,218,124,
219,187,219,150,219,244,219,129,
220,190,220,149,220,252,220,134,
221,198,221,163,221,262,221,132,
222,189,222,167,222,267,222,134,
223,208,223,168,223,267,223,143,
224,208,224,169,224,278,224,150,
225,205,225,174,225,283,225,152,
226,214,226,185,226,288,226,156,
227,211,227,178,227,302,227,161,
228,219,228,198,228,306,228,166,
229,213,229,205,229,311,229,176,
230,202,230,198,230,326,230,180,
231,203,231,207,231,326,231,181,
232,215,232,221,232,330,232,186,
233,205,233,249,233,340,233,192,
234,225,234,249,234,346,234,208,
235,229,235,228,235,356,235,224,
236,228,236,229,236,361,236,240,
237,253,237,243,237,368,237,254,
238,268,238,274,238,377,238,260,
239,241,239,272,239,390,239,272,
240,256,240,260,240,392,240,281,
241,265,241,265,241,401,241,285,
242,266,242,259,242,412,242,294,
243,278,243,287,243,416,243,297,
244,279,244,324,244,421,244,299,
245,280,245,328,245,432,245,304,
246,269,246,328,246,442,246,319,
247,283,247,313,247,451,247,335,
248,294,248,328,248,462,248,342,
249,294,249,335,249,473,249,356,
250,296,250,357,250,479,250,359,
251,300,251,393,251,484,251,359,
252,301,252,383,252,490,252,371,
253,317,253,370,253,501,253,384,
254,328,254,377,254,514,254,400,
255,333,255,408,255,515,255,411,
256,349,256,422,256,524,256,426,
257,336,257,456,257,538,257,434,
258,343,258,471,258,544,258,452,
259,333,259,456,259,545,259,471,
260,353,260,460,260,552,260,490,
261,360,261,458,261,562,261,509,
262,372,262,486,262,564,262,524,
263,374,263,499,263,583,263,539,
264,384,264,501,264,588,264,557,
265,381,265,534,265,600,265,571,
266,389,266,530,266,608,266,588,
267,401,267,561,267,621,267,601,
268,427,268,561,268,630,268,629,
269,452,269,567,269,641,269,650,
270,466,270,555,270,659,270,669,
271,456,271,596,271,679,271,678,
272,438,272,628,272,697,272,695,
273,446,273,637,273,702,273,716,
274,476,274,622,274,706,274,746,
275,479,275,638,275,721,275,761,
276,485,276,631,276,729,276,786,
277,496,277,654,277,751,277,817,
278,492,278,670,278,760,278,824,
279,504,279,716,279,764,279,848,
280,553,280,708,280,777,280,875,
281,565,281,697,281,784,281,894,
282,540,282,698,282,806,282,913,
283,551,283,711,283,810,283,940,
284,562,284,733,284,819,284,958,
285,566,285,734,285,838,285,978,
286,566,286,756,286,853,286,1004,
287,584,287,758,287,867,287,1026,
288,609,288,760,288,880,288,1046,
289,610,289,795,289,895,289,1078,
290,648,290,764,290,906,290,1121,
291,648,291,801,291,922,291,1146,
292,668,292,792,292,945,292,1170,
293,660,293,790,293,974,293,1208,
294,659,294,778,294,1001,294,1221,
295,657,295,808,295,1013,295,1251,
296,678,296,831,296,1033,296,1276,
297,689,297,846,297,1058,297,1298,
298,733,298,857,298,1070,298,1311,
299,752,299,852,299,1087,299,1335,
300,731,300,877,300,1101,300,1354,
301,741,301,901,301,1114,301,1374,
302,749,302,913,302,1137,302,1397,
303,758,303,868,303,1164,303,1422,
304,802,304,869,304,1187,304,1439,
305,787,305,864,305,1221,305,1450,
306,791,306,887,306,1251,306,1480,
307,792,307,903,307,1269,307,1491,
308,827,308,941,308,1295,308,1494,
309,858,309,947,309,1307,309,1504,
310,850,310,974,310,1348,310,1529,
311,844,311,983,311,1378,311,1554,
312,867,312,953,312,1383,312,1597,
313,909,313,963,313,1400,313,1619,
314,900,314,995,314,1416,314,1642,
315,921,315,996,315,1431,315,1672,
316,972,316,1001,316,1450,316,1692,
317,961,317,952,317,1483,317,1722,
318,928,318,991,318,1514,318,1736,
319,929,319,984,319,1537,319,1766,
320,947,320,1017,320,1550,320,1785,
321,934,321,1023,321,1573,321,1813,
322,944,322,1012,322,1599,322,1828,
323,958,323,1022,323,1622,323,1851,
324,1000,324,1057,324,1643,324,1869,
325,1017,325,1054,325,1672,325,1893,
326,1068,326,1055,326,1691,326,1915,
327,1122,327,1026,327,1700,327,1956,
328,1122,328,1015,328,1720,328,1968,
329,1115,329,1050,329,1746,329,1991,
330,1101,330,1042,330,1770,330,2042,
331,1143,331,1043,331,1802,331,2076,
332,1163,332,1048,332,1825,332,2095,
333,1180,333,1047,333,1845,333,2106,
334,1179,334,1045,334,1871,334,2127,
335,1189,335,1028,335,1896,335,2134,
336,1221,336,1013,336,1924,336,2146,
337,1245,337,1056,337,1962,337,2142,
338,1255,338,1029,338,1989,338,2192,
339,1246,339,1035,339,2006,339,2215,
340,1248,340,1073,340,2039,340,2214,
341,1269,341,1070,341,2075,341,2237,
342,1267,342,1044,342,2094,342,2274,
343,1310,343,1042,343,2118,343,2289,
344,1337,344,1010,344,2135,344,2310,
345,1392,345,1024,345,2155,345,2337,
346,1381,346,989,346,2207,346,2345,
347,1403,347,1023,347,2237,347,2335,
348,1388,348,1030,348,2298,348,2348,
349,1433,349,1045,349,2310,349,2395,
350,1438,350,1054,350,2351,350,2407,
351,1418,351,1085,351,2393,351,2399,
352,1430,352,1057,352,2427,352,2436,
353,1422,353,1024,353,2483,353,2455,
354,1437,354,1037,354,2522,354,2467,
355,1478,355,1068,355,2556,355,2456,
356,1488,356,1023,356,2576,356,2480,
357,1458,357,1051,357,2624,357,2485,
358,1470,358,1052,358,2644,358,2488,
359,1494,359,1043,359,2667,359,2515,
360,1511,360,1034,360,2696,360,2529,
361,1484,361,1029,361,2721,361,2543,
362,1529,362,1058,362,2739,362,2535,
363,1504,363,1078,363,2765,363,2540,
364,1479,364,1066,364,2789,364,2556,
365,1501,365,1087,365,2781,365,2574,
366,1495,366,1044,366,2832,366,2589,
367,1509,367,1054,367,2873,367,2611,
368,1534,368,1073,368,2907,368,2622,
369,1603,369,1047,369,2944,369,2625,
370,1577,370,1029,370,2975,370,2634,
371,1599,371,999,371,2988,371,2642,
372,1633,372,1027,372,3041,372,2657,
373,1675,373,998,373,3085,373,2669,
374,1630,374,1000,374,3136,374,2681,
375,1646,375,1037,375,3168,375,2669,
376,1620,376,1028,376,3195,376,2663,
377,1601,377,1041,377,3205,377,2662,
378,1610,378,1034,378,3232,378,2683,
379,1589,379,1008,379,3264,379,2693,
380,1573,380,1025,380,3294,380,2691,
381,1597,381,1046,381,3299,381,2703,
382,1628,382,1069,382,3314,382,2707,
383,1653,383,1062,383,3312,383,2706,
384,1645,384,1041,384,3344,384,2705,
385,1620,385,1029,385,3386,385,2724,
386,1586,386,1061,386,3400,386,2705,
387,1569,387,1046,387,3441,387,2714,
388,1594,388,1039,388,3451,388,2719,
389,1636,389,1041,389,3477,389,2727,
390,1629,390,1036,390,3508,390,2737,
391,1649,391,1044,391,3549,391,2724,
392,1615,392,1083,392,3580,392,2731,
393,1539,393,1069,393,3623,393,2733,
394,1555,394,1076,394,3634,394,2753,
395,1550,395,1048,395,3672,395,2762,
396,1600,396,1072,396,3677,396,2752,
397,1598,397,1068,397,3694,397,2760,
398,1608,398,1039,398,3722,398,2767,
399,1561,399,1047,399,3757,399,2786,
400,1543,400,1042,400,3789,400,2788,
401,1559,401,1047,401,3794,401,2797,
402,1533,402,1060,402,3822,402,2800,
403,1505,403,1032,403,3840,403,2808,
404,1561,404,1033,404,3844,404,2817,
405,1521,405,1046,405,3855,405,2821,
406,1489,406,1106,406,3886,406,2824,
407,1476,407,1082,407,3894,407,2850,
408,1406,408,1098,408,3906,408,2848,
409,1449,409,1070,409,3888,409,2862,
410,1461,410,1065,410,3905,410,2866,
411,1443,411,1082,411,3920,411,2857,
412,1459,412,1108,412,3918,412,2852,
413,1416,413,1116,413,3934,413,2871,
414,1427,414,1137,414,3936,414,2878,
415,1460,415,1163,415,3951,415,2875,
416,1435,416,1202,416,3952,416,2879,
417,1434,417,1183,417,3977,417,2881,
418,1388,418,1230,418,3994,418,2859,
419,1364,419,1225,419,3994,419,2860,
420,1375,420,1227,420,3996,420,2883,
421,1343,421,1306,421,3997,421,2896,
422,1313,422,1288,422,4020,422,2911,
423,1328,423,1304,423,4006,423,2923,
424,1333,424,1295,424,3997,424,2925,
425,1305,425,1259,425,4021,425,2951,
426,1337,426,1264,426,4035,426,2951,
427,1306,427,1273,427,4018,427,2965,
428,1226,428,1310,428,4019,428,2955,
429,1241,429,1302,429,4002,429,2976,
430,1223,430,1309,430,4016,430,2987,
431,1244,431,1342,431,4010,431,3001,
432,1225,432,1385,432,3992,432,3008,
433,1180,433,1394,433,3997,433,3044,
434,1187,434,1382,434,3991,434,3070,
435,1179,435,1373,435,3989,435,3088,
436,1137,436,1407,436,4000,436,3107,
437,1141,437,1441,437,4018,437,3119,
438,1106,438,1411,438,4008,438,3131,
439,1092,439,1424,439,4021,439,3134,
440,1079,440,1420,440,4038,440,3152,
441,1089,441,1384,441,4030,441,3169,
442,1062,442,1456,442,4029,442,3173,
443,1029,443,1456,443,4002,443,3187,
444,1026,444,1506,444,3972,444,3186,
445,1031,445,1528,445,3940,445,3206,
446,1017,446,1509,446,3926,446,3226,
447,1029,447,1516,447,3906,447,3240,
448,1020,448,1541,448,3892,448,3259,
449,1020,449,1529,449,3864,449,3304,
450,1046,450,1545,450,3859,450,3311,
451,1026,451,1556,451,3835,451,3316,
452,1003,452,1558,452,3843,452,3331,
453,1004,453,1599,453,3839,453,3338,
454,1024,454,1549,454,3806,454,3363,
455,993,455,1539,455,3798,455,3376,
456,958,456,1529,456,3792,456,3388,
457,975,457,1520,457,3758,457,3401,
458,991,458,1540,458,3724,458,3437,
459,1004,459,1570,459,3714,459,3456,
460,1000,460,1547,460,3684,460,3482,
461,1040,461,1554,461,3637,461,3496,
462,1028,462,1583,462,3638,462,3509,
463,1025,463,1601,463,3623,463,3527,
464,993,464,1573,464,3596,464,3544,
465,1051,465,1598,465,3587,465,3557,
466,1047,466,1605,466,3575,466,3584,
467,1014,467,1620,467,3561,467,3610,
468,981,468,1608,468,3554,468,3626,
469,1015,469,1610,469,3551,469,3659,
470,1029,470,1619,470,3536,470,3662,
471,1060,471,1605,471,3504,471,3663,
472,1064,472,1595,472,3489,472,3677,
473,1024,473,1598,473,3493,473,3712,
474,1008,474,1596,474,3492,474,3717,
475,1010,475,1612,475,3491,475,3745,
476,1029,476,1601,476,3477,476,3765,
477,1047,477,1594,477,3469,477,3804,
478,1038,478,1591,478,3453,478,3818,
479,1062,479,1568,479,3431,479,3832,
480,1065,480,1565,480,3415,480,3840,
481,1090,481,1576,481,3386,481,3831,
482,1085,482,1577,482,3380,482,3823,
483,1115,483,1564,483,3368,483,3842,
484,1107,484,1547,484,3354,484,3861,
485,1117,485,1512,485,3346,485,3895,
486,1091,486,1487,486,3359,486,3902,
487,1108,487,1492,487,3352,487,3906,
488,1076,488,1457,488,3339,488,3922,
489,1089,489,1436,489,3322,489,3935,
490,1080,490,1427,490,3331,490,3951,
491,1119,491,1410,491,3324,491,3935,
492,1164,492,1399,492,3317,492,3941,
493,1179,493,1392,493,3313,493,3939,
494,1169,494,1379,494,3286,494,3952,
495,1209,495,1371,495,3289,495,3972,
496,1232,496,1385,496,3300,496,3975,
497,1236,497,1368,497,3301,497,3970,
498,1242,498,1340,498,3294,498,3960,
499,1250,499,1363,499,3294,499,3972,
500,1237,500,1329,500,3283,500,3971,
501,1239,501,1316,501,3297,501,3968,
502,1248,502,1327,502,3302,502,3979,
503,1310,503,1307,503,3300,503,3983,
504,1269,504,1244,504,3314,504,3982,
505,1278,505,1239,505,3330,505,3987,
506,1319,506,1264,506,3329,506,3988,
507,1275,507,1290,507,3346,507,3998,
508,1350,508,1246,508,3362,508,4008,
509,1311,509,1207,509,3372,509,4014,
510,1331,510,1188,510,3379,510,4012,
511,1351,511,1189,511,3390,511,4002,
512,1393,512,1166,512,3398,512,3983,
513,1398,513,1142,513,3410,513,3973,
514,1393,514,1158,514,3392,514,3967,
515,1421,515,1142,515,3403,515,3950,
516,1397,516,1082,516,3407,516,3947,
517,1409,517,1111,517,3421,517,3926,
518,1424,518,1105,518,3436,518,3919,
519,1421,519,1115,519,3450,519,3895,
520,1450,520,1087,520,3448,520,3887,
521,1441,521,1069,521,3491,521,3891,
522,1443,522,1057,522,3487,522,3878,
523,1470,523,1064,523,3498,523,3860,
524,1471,524,1034,524,3545,524,3838,
525,1450,525,1039,525,3558,525,3835,
526,1464,526,1060,526,3571,526,3809,
527,1427,527,1046,527,3591,527,3800,
528,1428,528,1066,528,3621,528,3798,
529,1464,529,1036,529,3635,529,3799,
530,1489,530,1017,530,3637,530,3772,
531,1517,531,1002,531,3669,531,3761,
532,1523,532,989,532,3657,532,3748,
533,1545,533,1017,533,3648,533,3723,
534,1536,534,998,534,3656,534,3713,
535,1512,535,1023,535,3683,535,3685,
536,1475,536,1044,536,3692,536,3671,
537,1511,537,1035,537,3691,537,3658,
538,1506,538,1026,538,3717,538,3643,
539,1503,539,1022,539,3700,539,3632,
540,1522,540,1010,540,3697,540,3620,
541,1535,541,1013,541,3719,541,3580,
542,1557,542,1044,542,3701,542,3582,
543,1585,543,1061,543,3715,543,3547,
544,1575,544,1032,544,3744,544,3540,
545,1569,545,1020,545,3759,545,3513,
546,1529,546,1059,546,3768,546,3504,
547,1534,547,1061,547,3793,547,3481,
548,1523,548,1034,548,3811,548,3495,
549,1525,549,1015,549,3805,549,3479,
550,1520,550,1007,550,3805,550,3470,
551,1562,551,1010,551,3823,551,3461,
552,1549,552,1027,552,3819,552,3468,
553,1543,553,1025,553,3832,553,3455,
554,1562,554,1038,554,3834,554,3456,
555,1540,555,1031,555,3845,555,3438,
556,1541,556,1066,556,3848,556,3406,
557,1570,557,1062,557,3868,557,3410,
558,1550,558,1063,558,3893,558,3402,
559,1533,559,1067,559,3901,559,3386,
560,1520,560,1077,560,3919,560,3382,
561,1473,561,1070,561,3924,561,3376,
562,1478,562,1082,562,3931,562,3357,
563,1471,563,1094,563,3958,563,3364,
564,1491,564,1148,564,3945,564,3354,
565,1484,565,1102,565,3943,565,3339,
566,1495,566,1109,566,3957,566,3317,
567,1490,567,1137,567,3946,567,3305,
568,1443,568,1106,568,3989,568,3310,
569,1435,569,1079,569,4000,569,3321,
570,1417,570,1099,570,4023,570,3310,
571,1413,571,1104,571,4014,571,3311,
572,1411,572,1120,572,4021,572,3302,
573,1434,573,1093,573,4014,573,3303,
574,1422,574,1111,574,4029,574,3303,
575,1410,575,1182,575,4028,575,3286,
576,1413,576,1178,576,4039,576,3280,
577,1393,577,1187,577,4033,577,3268,
578,1395,578,1176,578,4035,578,3271,
579,1398,579,1168,579,4027,579,3263,
580,1365,580,1206,580,4036,580,3264,
581,1332,581,1235,581,4051,581,3260,
582,1281,582,1263,582,4057,582,3264,
583,1290,583,1277,583,4058,583,3257,
584,1325,584,1246,584,4054,584,3259,
585,1303,585,1247,585,4058,585,3259,
586,1296,586,1228,586,4071,586,3260,
587,1269,587,1277,587,4062,587,3255,
588,1248,588,1267,588,4065,588,3280,
589,1235,589,1315,589,4062,589,3278,
590,1209,590,1297,590,4057,590,3313,
591,1203,591,1338,591,4061,591,3301,
592,1233,592,1352,592,4039,592,3302,
593,1227,593,1348,593,4025,593,3318,
594,1221,594,1356,594,4005,594,3319,
595,1214,595,1350,595,3999,595,3319,
596,1182,596,1360,596,3974,596,3323,
597,1218,597,1395,597,3961,597,3319,
598,1207,598,1413,598,3954,598,3338,
599,1150,599,1408,599,3980,599,3342,
600,1131,600,1433,600,3998,600,3359,
601,1133,601,1457,601,3982,601,3350,
602,1130,602,1463,602,3968,602,3362,
603,1108,603,1470,603,3967,603,3366,
604,1102,604,1439,604,3939,604,3400,
605,1090,605,1460,605,3934,605,3416,
606,1104,606,1464,606,3924,606,3419,
607,1082,607,1469,607,3935,607,3440,
608,1101,608,1472,608,3927,608,3490,
609,1102,609,1432,609,3923,609,3529,
610,1079,610,1439,610,3893,610,3511,
611,1058,611,1487,611,3884,611,3509,
612,1055,612,1505,612,3866,612,3514,
613,1075,613,1509,613,3845,613,3538,
614,1072,614,1501,614,3837,614,3567,
615,1030,615,1530,615,3824,615,3583,
616,1045,616,1551,616,3816,616,3606,
617,1046,617,1525,617,3814,617,3626,
618,1066,618,1487,618,3783,618,3631,
619,1069,619,1474,619,3748,619,3651,
620,1040,620,1485,620,3752,620,3662,
621,1040,621,1508,621,3739,621,3663,
622,1037,622,1536,622,3748,622,3662,
623,1060,623,1527,623,3739,623,3657,
624,1044,624,1552,624,3732,624,3655,
625,1026,625,1575,625,3713,625,3660,
626,1042,626,1548,626,3686,626,3710,
627,1061,627,1583,627,3668,627,3714,
628,1043,628,1591,628,3654,628,3737,
629,1040,629,1572,629,3642,629,3737,
630,1033,630,1548,630,3638,630,3748,
631,1064,631,1516,631,3635,631,3781,
632,1071,632,1538,632,3619,632,3796,
633,1056,633,1512,633,3600,633,3825,
634,1017,634,1514,634,3594,634,3859,
635,1030,635,1541,635,3580,635,3874,
636,1015,636,1521,636,3578,636,3897,
637,1085,637,1462,637,3565,637,3937,
638,1065,638,1457,638,3545,638,3941,
639,1096,639,1474,639,3519,639,3944,
640,1090,640,1487,640,3503,640,3952,
641,1079,641,1427,641,3501,641,3965,
642,1063,642,1427,642,3499,642,3999,
643,1080,643,1443,643,3489,643,3992,
644,1127,644,1433,644,3474,644,4000,
645,1129,645,1409,645,3463,645,4014,
646,1119,646,1375,646,3468,646,3998,
647,1124,647,1403,647,3456,647,3995,
648,1195,648,1414,648,3412,648,3995,
649,1194,649,1414,649,3404,649,3996,
650,1184,650,1397,650,3396,650,4007,
651,1223,651,1434,651,3388,651,4008,
652,1230,652,1404,652,3396,652,4014,
653,1245,653,1382,653,3393,653,4018,
654,1247,654,1369,654,3383,654,4033,
655,1237,655,1408,655,3395,655,4042,
656,1225,656,1383,656,3393,656,4029,
657,1226,657,1366,657,3399,657,4034,
658,1246,658,1347,658,3398,658,4026,
659,1227,659,1327,659,3395,659,4033,
660,1259,660,1276,660,3390,660,4053,
661,1278,661,1285,661,3382,661,4048,
662,1287,662,1258,662,3366,662,4038,
663,1293,663,1265,663,3367,663,4049,
664,1263,664,1311,664,3385,664,4024,
665,1275,665,1279,665,3370,665,4037,
666,1341,666,1257,666,3367,666,4036,
667,1357,667,1242,667,3386,667,4040,
668,1364,668,1228,668,3394,668,4038,
669,1390,669,1235,669,3403,669,4026,
670,1359,670,1244,670,3413,670,4004,
671,1349,671,1236,671,3414,671,4002,
672,1307,672,1234,672,3429,672,4007,
673,1286,673,1220,673,3432,673,4001,
674,1300,674,1214,674,3435,674,3987,
675,1332,675,1180,675,3409,675,3965,
676,1373,676,1131,676,3416,676,3975,
677,1380,677,1162,677,3382,677,3955,
678,1400,678,1145,678,3393,678,3953,
679,1455,679,1107,679,3396,679,3955,
680,1422,680,1138,680,3423,680,3940,
681,1505,681,1163,681,3416,681,3913,
682,1524,682,1146,682,3434,682,3900,
683,1511,683,1174,683,3456,683,3888,
684,1495,684,1135,684,3455,684,3890,
685,1488,685,1101,685,3481,685,3855,
686,1514,686,1104,686,3491,686,3843,
687,1494,687,1120,687,3497,687,3823,
688,1470,688,1131,688,3505,688,3796,
689,1509,689,1134,689,3509,689,3761,
690,1569,690,1108,690,3514,690,3751,
691,1560,691,1140,691,3529,691,3746,
692,1556,692,1118,692,3550,692,3724,
693,1555,693,1117,693,3557,693,3721,
694,1582,694,1132,694,3578,694,3708,
695,1542,695,1094,695,3595,695,3717,
696,1545,696,1096,696,3609,696,3695,
697,1515,697,1081,697,3632,697,3692,
698,1559,698,1060,698,3620,698,3685,
699,1537,699,1070,699,3642,699,3684,
700,1541,700,1086,700,3665,700,3672,
701,1521,701,1053,701,3678,701,3672,
702,1505,702,1087,702,3686,702,3642,
703,1520,703,1072,703,3702,703,3663,
704,1523,704,1044,704,3715,704,3654,
705,1509,705,1057,705,3724,705,3651,
706,1471,706,1076,706,3746,706,3645,
707,1460,707,1080,707,3762,707,3624,
708,1491,708,1074,708,3750,708,3618,
709,1492,709,1046,709,3766,709,3627,
710,1501,710,1043,710,3771,710,3612,
711,1561,711,1044,711,3759,711,3607,
712,1568,712,1097,712,3771,712,3601,
713,1538,713,1094,713,3796,713,3596,
714,1521,714,1117,714,3815,714,3578,
715,1499,715,1090,715,3837,715,3553,
716,1497,716,1127,716,3841,716,3551,
717,1484,717,1130,717,3844,717,3538,
718,1476,718,1154,718,3857,718,3526,
719,1468,719,1136,719,3852,719,3506,
720,1469,720,1119,720,3857,720,3508,
