"A_x","A_y","B_x","B_y","DA_x","DA_y","DB_x","DB_y"
0,329,0,309,0,0,0,0,
1,300,1,272,1,29,1,37,
2,275,2,246,2,51,2,62,
3,253,3,225,3,71,3,79,
4,217,4,203,4,93,4,94,
5,187,5,176,5,110,5,111,
6,165,6,153,6,127,6,127,
7,141,7,136,7,147,7,139,
8,135,8,122,8,150,8,149,
9,121,9,109,9,160,9,159,
10,110,10,96,10,168,10,170,
11,103,11,87,11,172,11,178,
12,91,12,83,12,181,12,182,
13,83,13,78,13,188,13,187,
14,76,14,73,14,192,14,186,
15,65,15,72,15,201,15,186,
16,56,16,65,16,208,16,192,
17,53,17,55,17,209,17,200,
18,52,18,53,18,208,18,202,
19,47,19,48,19,211,19,204,
20,39,20,46,20,215,20,205,
21,38,21,41,21,216,21,206,
22,34,22,37,22,216,22,208,
23,34,23,32,23,216,23,211,
24,32,24,32,24,214,24,209,
25,31,25,37,25,214,25,202,
26,32,26,37,26,212,26,200,
27,29,27,38,27,213,27,198,
28,30,28,35,28,209,28,201,
29,35,29,30,29,200,29,202,
30,30,30,31,30,200,30,197,
31,27,31,25,31,203,31,200,
32,27,32,25,32,202,32,200,
33,29,33,22,33,199,33,201,
34,30,34,22,34,196,34,200,
35,27,35,21,35,196,35,197,
36,29,36,19,36,189,36,198,
37,27,37,17,37,190,37,198,
38,26,38,18,38,190,38,195,
39,25,39,20,39,190,39,192,
40,21,40,16,40,194,40,190,
41,19,41,15,41,193,41,190,
42,19,42,14,42,192,42,188,
43,18,43,16,43,193,43,186,
44,22,44,18,44,188,44,183,
45,25,45,16,45,184,45,184,
46,24,46,15,46,182,46,184,
47,25,47,16,47,177,47,181,
48,21,48,16,48,178,48,179,
49,19,49,14,49,179,49,179,
50,19,50,16,50,177,50,175,
51,24,51,17,51,171,51,171,
52,25,52,16,52,167,52,170,
53,23,53,17,53,165,53,168,
54,22,54,18,54,164,54,166,
55,21,55,18,55,164,55,163,
56,21,56,18,56,163,56,162,
57,23,57,16,57,164,57,162,
58,23,58,16,58,163,58,160,
59,19,59,16,59,164,59,158,
60,21,60,15,60,162,60,157,
61,23,61,18,61,159,61,153,
62,23,62,18,62,157,62,153,
63,23,63,19,63,157,63,150,
64,22,64,18,64,155,64,149,
65,23,65,23,65,154,65,141,
66,26,66,25,66,149,66,142,
67,28,67,21,67,147,67,140,
68,28,68,20,68,147,68,139,
69,25,69,20,69,148,69,137,
70,24,70,19,70,148,70,138,
71,25,71,16,71,147,71,138,
72,20,72,16,72,152,72,137,
73,21,73,16,73,151,73,137,
74,19,74,15,74,152,74,138,
75,21,75,13,75,150,75,137,
76,21,76,13,76,149,76,136,
77,21,77,14,77,148,77,134,
78,20,78,12,78,145,78,134,
